"Receipt","Academic Director - Life Sciences","Academic Director - Humanities","Academic Director - Computer Science","Academic Director - Mathematical and Physical Sciences","Academic Director - Rotman Commerce","Academic Director - Social Sciences","Division I Director, Woodsworth College","Division I Director, University College","Division I Director, Victoria University in the University of Toronto","President","Vice-President, Campus Life","Vice-President, Equity","Vice-President, External","Vice-President, Internal and Services","Vice-President, Professional Faculties","Vice-President, University Affairs","Director - Architecture","Director - Dentistry","Director - Engineering and Applied Sciences","Director - Medicine","Director, Nursing","Director - Pharmacy","Director - Professional Faculty At-Large","Director - Theology","Referendum Question 1","Referendum Question 2"
"G73Z","","","","","No","","Abstain","","","Madina Siddiqui, Jasmine Wong Denike","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","No"
"G7BY","","","","Abstain","","Abstain","","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Yes","Yes"
"G7C2","","","","","","","","","","Jasmine Wong Denike","Abstain","Abstain","Abstain","Mathias Memmel","Abstain","Abstain","","","","","","","Sophia Wang","","No","No"
"G7ZT","","","","Abstain","","Abstain","","Abstain","","Abstain","Abstain","Abstain","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Abstain","","","","","","","","","Abstain","Abstain"
"G83W","","","","Yes","","","","","","Madina Siddiqui, Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"G8K9","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Marienka Bishop-Kovac, Veronika Potylitsina","","","","","","Abstain","","No","Yes"
"G929","","","","","","","Ifrah Farah, Ahmad Ilyas, Christina Badiola","","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","Yes"
"G96Q","","","","","","","","","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","",""
"G976","","Abstain","","","","Abstain","","","Stephanie Spagnuolo, Garnet Lollar","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Abstain","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","Yes"
"G97B","","Yes","Yes","","","","","","Garnet Lollar, Stephanie Spagnuolo","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","Yes"
"G9PP","","","","Abstain","","","Abstain","","","Madina Siddiqui","Shahin Imtiaz","Farah Noori","Andre Fast","Mathias Memmel","","Abstain","","","","","","","","","No","Abstain"
"G9VQ","","","","No","","","","","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","No","No"
"GB2T","","","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Abstain","Andre Fast","Mathias Memmel, Carina Zhang","Ryan Gomes, Charlotte Mengxi Shen","Shawn Williams, Andy Edem","","","Andrew Sweeny, Addy Bhatia","","","","Faizan Akbani, Sophia Wang","","No","No"
"GBBR","Abstain","Abstain","","","","","","","","Abstain","Abstain","Abstain","Andre Fast, Lucinda Jing Qu","Abstain","","Abstain","","","","","","","","","Yes","Yes"
"GBC9","Abstain","","","","","","","Abstain","","Madina Siddiqui, Jasmine Wong Denike","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"GBHG","","","","","No","","","","","Abstain","Abstain","Malkeet Sandhu, Farah Noori","Abstain","Abstain","","Abstain","","","","","","","","","No","No"
"GBWC","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","Ryan Gomes","Andy Edem, Shawn Williams","","","","","","","Sophia Wang, Faizan Akbani","","Abstain","Abstain"
"GC4G","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","","","Andrew Sweeny, Danja Papajani, Addy Bhatia","","","","Abstain","","Abstain","Abstain"
"GC5Y","","","","","Abstain","","","","","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Abstain","Abstain","Mathias Memmel, Carina Zhang","","Abstain","","","","","","","","","No","No"
"GC7B","","","","Yes","","","","","","Madina Siddiqui","Shahin Imtiaz, Lera Nwineh","Farah Noori","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","Yes","No"
"GC7D","","Yes","","","","Yes","","","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Abstain","No"
"GC7N","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Andy Edem, Shawn Williams","","","","","","","","","No","No"
"GC8T","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Malkeet Sandhu, Farah Noori","Lucinda Jing Qu, Andre Fast","Carina Zhang, Mathias Memmel","Charlotte Mengxi Shen, Ryan Gomes","Andy Edem, Shawn Williams","","","Andrew Sweeny, Addy Bhatia, Danja Papajani","","","","Sophia Wang, Faizan Akbani","","Abstain","Abstain"
"GCXG","","Yes","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"GCXN","","Yes","","","","Yes","","","Stephanie Spagnuolo, Garnet Lollar","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","Yes"
"GD6P","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Abstain","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","Ryan Gomes","Andy Edem, Shawn Williams","","","Andrew Sweeny, Danja Papajani, Addy Bhatia","","","","Faizan Akbani, Sophia Wang","","No","No"
"GD8Q","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","Charlotte Mengxi Shen","Abstain","","","Abstain","","","","Abstain","","Abstain","Abstain"
"GDDZ","","Yes","","","","Yes","","","","Jasmine Wong Denike, Madina Siddiqui","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","No"
"GDWX","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","Ryan Gomes, Charlotte Mengxi Shen","Shawn Williams, Andy Edem","","","","","","","Sophia Wang, Faizan Akbani","","Abstain","Yes"
"GDZ9","","Yes","","","","Yes","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Abstain","No"
"GF98","","","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Carina Zhang","Charlotte Mengxi Shen","Shawn Williams","","","Andrew Sweeny","","","","Sophia Wang","","Abstain","Abstain"
"GFJG","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Lucinda Jing Qu, Andre Fast","Carina Zhang, Mathias Memmel","Ryan Gomes, Charlotte Mengxi Shen","Andy Edem, Shawn Williams","","","","","","","Sophia Wang, Faizan Akbani","Yes","Yes","Yes"
"GFW7","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Abstain","Abstain","Abstain","Mathias Memmel, Carina Zhang","Ryan Gomes, Charlotte Mengxi Shen","Abstain","","","Andrew Sweeny, Danja Papajani, Addy Bhatia","","","","Abstain","","No","No"
"GFWF","","Yes","","","","Yes","","","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","Yes"
"GG23","","Yes","","","","Yes","Abstain","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Abstain","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","No","No"
"GGKZ","","No","","","","","","","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu, Farah Noori","Andre Fast","Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","No","No"
"GGPS","","","Yes","No","","","","","","Abstain","Abstain","Abstain","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Abstain","","","","","","","","","Yes","Yes"
"GH6C","","","","","","Yes","","","","Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Abstain","","","","","","","","","Abstain","Abstain"
"GHD3","Abstain","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"GHMV","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang, Mathias Memmel","Charlotte Mengxi Shen, Ryan Gomes","Andy Edem, Shawn Williams","","","Addy Bhatia, Danja Papajani, Andrew Sweeny","","","","Abstain","","No","No"
"GHQC","","","","","","","","","","Abstain","Alessia Rodriguez","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","",""
"GHTN","Yes","","","","","","","","Stephanie Spagnuolo","Jasmine Wong Denike","Abstain","Abstain","Abstain","Abstain","","Shawn Williams","","","","","","","","","Yes","Yes"
"GJ34","","No","","","","Yes","Sebastian Salomon, Christina Badiola, Ahmad Ilyas, Ifrah Farah","","","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","No","No"
"GJ7T","Abstain","","","","","","","","Abstain","Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Abstain","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Abstain","No"
"GJMJ","Yes","","","","","","","","","Abstain","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Abstain","Abstain","Abstain","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","Abstain"
"GJTG","","Abstain","","","","Abstain","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","No"
"GJTN","Yes","Yes","","","","","","Kshemani Constantinescu, Ryan Hume","","Jasmine Wong Denike, Madina Siddiqui","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"GJY4","","Abstain","","","","Yes","","Abstain","","Jasmine Wong Denike, Madina Siddiqui","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"GK6K","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","Charlotte Mengxi Shen, Ryan Gomes","Shawn Williams, Andy Edem","","Yes","","","","","Faizan Akbani, Sophia Wang","","Yes","Yes"
"GK7Y","","Yes","","","","Yes","","","","Jasmine Wong Denike, Madina Siddiqui","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","No"
"GKCY","Yes","","","","","","","Kshemani Constantinescu, Mira El Hussein, Ryan Hume, Chimwemwe Alao","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","No"
"GKKH","Yes","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","No"
"GKMS","","No","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Abstain","Lucinda Jing Qu, Andre Fast","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","No","No"
"GM4F","No","Yes","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz","Abstain","Andre Fast, Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","No"
"GM5S","","","","","","Yes","Sebastian Salomon, Ahmad Ilyas, Christina Badiola, Ifrah Farah","","","Jasmine Wong Denike, Madina Siddiqui","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","Abstain"
"GM5W","","","","Yes","","","Abstain","","","Jasmine Wong Denike","Abstain","Abstain","Lucinda Jing Qu","Carina Zhang","","Abstain","","","","","","","","","Abstain","No"
"GMG6","","Yes","","","","","","Chimwemwe Alao, Kshemani Constantinescu, Mira El Hussein, Ryan Hume","","Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"GMS5","","","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","Ryan Gomes","Abstain","","","","","","","Sophia Wang","","Abstain","No"
"GMXF","","","","","Yes","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Abstain","Abstain","Abstain","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","Abstain"
"GN3Z","","","","","","Yes","Sebastian Salomon, Ifrah Farah, Christina Badiola, Ahmad Ilyas","","","Madina Siddiqui, Jasmine Wong Denike","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Malkeet Sandhu, Farah Noori","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Andy Edem, Shawn Williams","","","","","","","","","No","No"
"GN55","","","","","","Yes","","","","Madina Siddiqui","Abstain","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","Yes","No"
"GN6H","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","",""
"GN8N","","Yes","","","Yes","","","","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","Yes","Yes"
"GN8X","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang","Charlotte Mengxi Shen","Abstain","","","Abstain","","","","Abstain","","Abstain","Abstain"
"GNF6","Yes","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Yes","Yes"
"GNGH","","","","Yes","","","","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","No","Yes"
"GNHQ","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","",""
"GNJ3","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang","Abstain","Abstain","","","Abstain","","","","Abstain","","Abstain","Abstain"
"GNXX","Yes","","","","","","","","Garnet Lollar, Stephanie Spagnuolo","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","Yes"
"GP52","","Yes","","","","Yes","","","Garnet Lollar, Stephanie Spagnuolo","Jasmine Wong Denike","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Malkeet Sandhu, Farah Noori","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Abstain","","","","","","","","","Yes","Yes"
"GP54","","","","","","","","","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","",""
"GPCY","","","","","","Abstain","","","Abstain","Abstain","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Abstain","Abstain"
"GPQ7","","","","","Abstain","","","","","Madina Siddiqui, Jasmine Wong Denike","Abstain","Abstain","Abstain","Abstain","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","Yes"
"GPX7","","Abstain","","","","Abstain","","Abstain","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Yes","Yes"
"GPXB","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","",""
"GPZR","Yes","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Abstain","No"
"GQ6Y","","Abstain","","","","Abstain","","","","Abstain","Abstain","Malkeet Sandhu","Abstain","Carina Zhang","","Abstain","","","","","","","","","Abstain","Abstain"
"GQ7W","","Yes","","","","Yes","","","","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"GQKH","","","","","","","","","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","",""
"GR2B","","Yes","","","","Yes","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori","Andre Fast, Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","No","No"
"GRCR","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Andy Edem, Shawn Williams","","","","","","","","","",""
"GRT6","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","No","No"
"GRZG","","","","","Abstain","","Abstain","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Abstain","No"
"GRZR","","","","","","","","","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","",""
"GS2V","","Yes","","","","Yes","","","Garnet Lollar, Stephanie Spagnuolo","Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","No"
"GS3K","","","","","","","","","","Madina Siddiqui","Abstain","Abstain","Abstain","Carina Zhang","Charlotte Mengxi Shen","Abstain","","","Abstain","","","","Abstain","","Yes","No"
"GS84","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","Ryan Gomes, Charlotte Mengxi Shen","Shawn Williams, Andy Edem","","","","","","","Sophia Wang, Faizan Akbani","","No","No"
"GSHQ","Yes","Abstain","","","","","Ahmad Ilyas, Christina Badiola, Ifrah Farah, Sebastian Salomon","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","No","No"
"GSJS","Yes","Yes","","","","","","","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","Yes","No"
"GSN8","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","",""
"GSPG","","Yes","","","","Yes","","","","Abstain","Alessia Rodriguez","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"GT8T","","","","","Yes","Abstain","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh","Malkeet Sandhu","Lucinda Jing Qu","Carina Zhang","","Andy Edem","","","","","","","","","Abstain","Abstain"
"GTC8","Yes","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Abstain","","","","","","","","","Yes","Yes"
"GTD3","Abstain","","","","","","","","","Abstain","Abstain","Malkeet Sandhu, Farah Noori","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"GTH8","","","","","","","","","","Abstain","Abstain","Farah Noori","Abstain","Carina Zhang, Mathias Memmel","","Shawn Williams","","","","","","","","","",""
"GTJ7","","Yes","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams","","","","","","","","","Yes","Yes"
"GTP6","","","","","Yes","","","Ryan Hume, Chimwemwe Alao, Mira El Hussein, Kshemani Constantinescu","","Madina Siddiqui, Jasmine Wong Denike","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Yes","Yes"
"GTR7","","","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori","Lucinda Jing Qu","Mathias Memmel","Ryan Gomes","Shawn Williams","","","Addy Bhatia, Danja Papajani, Andrew Sweeny","","","","Faizan Akbani, Sophia Wang","","Abstain","Abstain"
"GTRQ","","","Abstain","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Abstain","Yes"
"GTYB","Yes","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Shawn Williams, Andy Edem","","","","","","","","","No","No"
"GV2C","","","","","No","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","Abstain"
"GV4G","","Yes","","","","","","","Garnet Lollar, Stephanie Spagnuolo","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"GV4M","","Yes","","","Yes","","Sebastian Salomon, Christina Badiola","","","Jasmine Wong Denike","Abstain","Farah Noori","Andre Fast","Mathias Memmel","","Shawn Williams","","","","","","","","","No","No"
"GV5V","","Abstain","","Abstain","","","","Abstain","","Abstain","Lera Nwineh, Alessia Rodriguez","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"GV8M","Yes","","","","","Yes","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"GVC7","","Abstain","","","","","","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Abstain","Abstain"
"GVMJ","","","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez","Farah Noori","Lucinda Jing Qu","Mathias Memmel","Ryan Gomes","Shawn Williams","","","","","","","Sophia Wang, Faizan Akbani","","No","No"
"GVPF","Yes","","","","","","Christina Badiola, Sebastian Salomon, Ahmad Ilyas, Ifrah Farah","","","Jasmine Wong Denike, Madina Siddiqui","Abstain","Abstain","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Abstain","","","","","","","","","Yes","Yes"
"GVR2","","Abstain","","","","","Abstain","","","Abstain","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"GVTG","","Yes","","","","","","Kshemani Constantinescu, Mira El Hussein, Chimwemwe Alao, Ryan Hume","","Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","Yes"
"GVXY","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","Charlotte Mengxi Shen","Abstain","","","","","","","Abstain","","Abstain","Abstain"
